
2025/07/03 (08:52:28) | ===> btop++ v.1.4.0
2025/07/03 (08:52:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/03 (09:03:14) | ===> btop++ v.1.4.0
2025/07/03 (09:03:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/03 (09:14:31) | ===> btop++ v.1.4.0
2025/07/03 (09:14:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/03 (09:19:41) | ===> btop++ v.1.4.0
2025/07/03 (09:19:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/03 (11:24:18) | ===> btop++ v.1.4.0
2025/07/03 (11:24:18) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/03 (12:54:31) | WARNING: Failed to join _runner thread on exit!

2025/07/03 (12:54:35) | ===> btop++ v.1.4.0
2025/07/03 (12:54:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/15 (09:57:27) | ===> btop++ v.1.4.0
2025/07/15 (09:57:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/16 (08:24:44) | ===> btop++ v.1.4.0
2025/07/16 (08:24:44) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/16 (08:24:46) | WARNING: Failed to join _runner thread on exit!
